16:00:09 [INFO] __main__: log file: C:\document\wingman_yolo\logs\wingman_yolo.log
16:00:09 [INFO] __main__: loaded config from ./configs/config.yaml
16:00:19 [INFO] core.detector: frame #662: 1 detections found (max conf=0.483, cls0=1)
16:00:19 [INFO] core.detector: frame #664: 1 detections found (max conf=0.514, cls0=1)
16:00:19 [INFO] core.detector: frame #666: 1 detections found (max conf=0.589, cls0=1)
16:00:19 [INFO] core.detector: frame #668: 2 detections found (max conf=0.580, cls0=1 cls13=1)
16:00:19 [INFO] core.detector: frame #670: 2 detections found (max conf=0.632, cls0=1 cls13=1)
16:00:19 [INFO] core.detector: frame #672: 2 detections found (max conf=0.648, cls0=1 cls13=1)
16:00:19 [INFO] core.detector: frame #674: 1 detections found (max conf=0.746, cls0=1)
16:00:19 [INFO] core.detector: frame #676: 1 detections found (max conf=0.858, cls0=1)
16:00:19 [INFO] core.detector: frame #678: 1 detections found (max conf=0.889, cls0=1)
16:00:19 [INFO] core.detector: frame #680: 1 detections found (max conf=0.911, cls0=1)
16:00:19 [INFO] core.detector: frame #682: 1 detections found (max conf=0.876, cls0=1)
16:00:19 [INFO] core.detector: frame #684: 1 detections found (max conf=0.867, cls0=1)
16:00:19 [INFO] core.detector: frame #686: 1 detections found (max conf=0.826, cls0=1)
16:00:19 [INFO] core.aim_controller: aim: OK — 67 moves/s (cache=True vel=(-36,153))
16:00:19 [INFO] core.detector: frame #688: 1 detections found (max conf=0.768, cls0=1)
16:00:19 [INFO] core.detector: frame #690: 1 detections found (max conf=0.851, cls0=1)
16:00:19 [INFO] core.detector: frame #692: 1 detections found (max conf=0.857, cls0=1)
16:00:19 [INFO] core.detector: frame #694: 1 detections found (max conf=0.880, cls0=1)
16:00:19 [INFO] core.detector: frame #696: 1 detections found (max conf=0.715, cls0=1)
16:00:19 [INFO] core.detector: frame #698: 1 detections found (max conf=0.812, cls0=1)
16:00:19 [INFO] core.detector: frame #702: 1 detections found (max conf=0.456, cls0=1)
16:00:19 [INFO] core.detector: frame #704: 1 detections found (max conf=0.752, cls0=1)
16:00:19 [INFO] core.detector: frame #706: 1 detections found (max conf=0.803, cls0=1)
16:00:19 [INFO] core.detector: frame #708: 1 detections found (max conf=0.835, cls0=1)
16:00:19 [INFO] core.detector: frame #710: 1 detections found (max conf=0.822, cls0=1)
16:00:19 [INFO] core.detector: frame #712: 1 detections found (max conf=0.812, cls0=1)
16:00:19 [INFO] core.detector: frame #714: 2 detections found (max conf=0.836, cls0=1 cls13=1)
16:00:19 [INFO] core.detector: frame #716: 2 detections found (max conf=0.739, cls0=1 cls13=1)
16:00:19 [INFO] core.detector: frame #718: 2 detections found (max conf=0.650, cls0=1 cls13=1)
16:00:19 [INFO] core.aim_controller: aim loop auto-tuned: 67 → 61 Hz (detection: 41 FPS)
16:00:19 [INFO] core.detector: frame #720: 2 detections found (max conf=0.714, cls0=1 cls13=1)
